x	y	z	Velocidad				x'	y'
19.559656	-4.105384	-2.074554	0.317302	1.218911	0.529401		-10.9512636	-8.9204336
19.566002	-4.081006	-2.063966	0.315398	1.219308	0.529601		-10.9291067	-8.9120667
19.57231	-4.05662	-2.053374	0.313493	1.219703	0.529801		-10.9069285	-8.9036825
19.57858	-4.032226	-2.042778	0.311588	1.220095	0.53		-10.884729	-8.895281
19.584812	-4.007824	-2.032178	0.309682	1.220485	0.530198		-10.8625082	-8.8868622
19.591006	-3.983414	-2.021574	0.307775	1.220873	0.530395		-10.8402661	-8.8784261
19.597161	-3.958996	-2.010966	0.305868	1.221258	0.53059		-10.81800235	-8.86997235
19.603278	-3.934571	-2.000355	0.30396	1.221641	0.530785		-10.7957183	-8.8615023
19.609358	-3.910138	-1.989739	0.302052	1.222022	0.530979		-10.7734133	-8.8530143
19.615399	-3.885698	-1.979119	0.300143	1.2224	0.531171		-10.75108765	-8.84450865
19.621401	-3.86125	-1.968496	0.298233	1.222776	0.531363		-10.72874035	-8.83598635
19.627366	-3.836795	-1.957869	0.296323	1.223149	0.531553		-10.7063731	-8.8274471
19.633293	-3.812332	-1.947238	0.294413	1.22352	0.531743		-10.68398455	-8.81889055
19.639181	-3.787861	-1.936603	0.292502	1.223889	0.531931		-10.66157435	-8.81031635
19.645031	-3.763383	-1.925964	0.29059	1.224255	0.532119		-10.63914385	-8.80172485
19.650843	-3.738898	-1.915322	0.288678	1.224619	0.532305		-10.61669305	-8.79311705
19.656616	-3.714406	-1.904676	0.286765	1.22498	0.53249		-10.5942216	-8.7844916
19.662352	-3.689906	-1.894026	0.284852	1.225339	0.532675		-10.5717292	-8.7758492
19.668049	-3.665399	-1.883372	0.282938	1.225696	0.532858		-10.54921615	-8.76718915
19.673707	-3.640886	-1.872715	0.281024	1.22605	0.53304		-10.52668345	-8.75851245
19.679328	-3.616365	-1.862054	0.279109	1.226402	0.533221		-10.5041298	-8.7498188
19.68491	-3.591837	-1.85139	0.277194	1.226751	0.533401		-10.4815555	-8.7411085
19.690454	-3.567302	-1.840722	0.275278	1.227099	0.533581		-10.4589609	-8.7323809
19.69596	-3.54276	-1.83005	0.273362	1.227443	0.533759		-10.436346	-8.723636
19.701427	-3.518211	-1.819375	0.271445	1.227786	0.533936		-10.41371045	-8.71487445
19.706856	-3.493655	-1.808696	0.269528	1.228125	0.534112		-10.3910546	-8.7060956
19.712246	-3.469092	-1.798014	0.26761	1.228463	0.534287		-10.3683781	-8.6973001
19.717598	-3.444523	-1.787329	0.265692	1.228798	0.53446		-10.3456823	-8.6884883
19.722912	-3.419947	-1.776639	0.263773	1.229131	0.534633		-10.3229662	-8.6796582
19.728188	-3.395365	-1.765947	0.261853	1.229461	0.534805		-10.3002308	-8.6708128
19.733425	-3.370775	-1.755251	0.259933	1.229789	0.534976		-10.27747375	-8.66194975
19.738623	-3.34618	-1.744551	0.258013	1.230115	0.535146		-10.25469805	-8.65306905
19.743784	-3.321577	-1.733848	0.256092	1.230438	0.535314		-10.2319014	-8.6441724
19.748906	-3.296969	-1.723142	0.254171	1.230759	0.535482		-10.2090861	-8.6352591
19.753989	-3.272353	-1.712432	0.252249	1.231077	0.535648		-10.18624915	-8.62632815
19.759034	-3.247732	-1.701719	0.250327	1.231393	0.535814		-10.1633939	-8.6173809
19.76404	-3.223104	-1.691003	0.248404	1.231706	0.535979		-10.140518	-8.608417
19.769009	-3.19847	-1.680283	0.246481	1.232018	0.536142		-10.11762315	-8.59943615
19.773938	-3.17383	-1.669561	0.244558	1.232326	0.536304		-10.0947083	-8.5904393
19.778829	-3.149183	-1.658834	0.242633	1.232633	0.536466		-10.07177315	-8.58142415
19.783682	-3.12453	-1.648105	0.240709	1.232937	0.536626		-10.0488187	-8.5723937
19.788496	-3.099872	-1.637373	0.238784	1.233238	0.536785		-10.0258456	-8.5633466
19.793272	-3.075207	-1.626637	0.236858	1.233537	0.536944		-10.0028522	-8.5542822
19.798009	-3.050536	-1.615898	0.234932	1.233834	0.537101		-9.97983915	-8.54520115
19.802708	-3.025859	-1.605156	0.233006	1.234128	0.537257		-9.9568068	-8.5361038
19.807368	-3.001177	-1.594411	0.231079	1.23442	0.537412		-9.9337558	-8.5269898
19.811989	-2.976488	-1.583663	0.229152	1.23471	0.537566		-9.91068415	-8.51785915
19.816572	-2.951794	-1.572911	0.227224	1.234997	0.537719		-9.8875942	-8.5087112
19.821117	-2.927094	-1.562157	0.225296	1.235282	0.537871		-9.86448495	-8.49954795
19.825623	-2.902389	-1.5514	0.223368	1.235564	0.538022		-9.84135705	-8.49036805
19.83009	-2.877677	-1.540639	0.221439	1.235844	0.538172		-9.8182085	-8.4811705
19.834519	-2.852961	-1.529876	0.219509	1.236122	0.538321		-9.79504265	-8.47195765
19.838909	-2.828238	-1.519109	0.217579	1.236397	0.538468		-9.77185615	-8.46272715
19.843261	-2.80351	-1.50834	0.215649	1.236669	0.538615		-9.74865135	-8.45348135
19.847574	-2.778777	-1.497568	0.213719	1.23694	0.538761		-9.7254279	-8.4442189
19.851848	-2.754038	-1.486792	0.211788	1.237208	0.538905		-9.7021848	-8.4349388
19.856084	-2.729294	-1.476014	0.209856	1.237473	0.539049		-9.6789234	-8.4256434
19.860281	-2.704544	-1.465233	0.207924	1.237736	0.539192		-9.65564235	-8.41633135
19.864439	-2.67979	-1.454449	0.205992	1.237997	0.539333		-9.63234365	-8.40700265
19.868559	-2.65503	-1.443663	0.204059	1.238255	0.539473		-9.60902565	-8.39765865
19.87264	-2.630265	-1.432873	0.202126	1.238511	0.539613		-9.585689	-8.388297
19.876683	-2.605494	-1.422081	0.200193	1.238764	0.539751		-9.56233305	-8.37892005
19.880687	-2.580719	-1.411286	0.198259	1.239015	0.539888		-9.53895945	-8.36952645
19.884652	-2.555939	-1.400488	0.196325	1.239264	0.540025		-9.5155672	-8.3601162
19.888579	-2.531154	-1.389688	0.19439	1.23951	0.54016		-9.49215665	-8.35069065
19.892466	-2.506363	-1.378885	0.192455	1.239754	0.540294		-9.4687261	-8.3412481
19.896315	-2.481568	-1.368079	0.19052	1.239995	0.540427		-9.44527825	-8.33178925
19.900126	-2.456768	-1.35727	0.188584	1.240234	0.540559		-9.4218121	-8.3223141
19.903898	-2.431964	-1.346459	0.186648	1.240471	0.54069		-9.3983283	-8.3128233
19.90763	-2.407154	-1.335645	0.184711	1.240705	0.54082		-9.3748245	-8.3033155
19.911325	-2.38234	-1.324829	0.182775	1.240937	0.540949		-9.35130375	-8.29379275
19.91498	-2.357521	-1.31401	0.180837	1.241166	0.541077		-9.327764	-8.284253
19.918597	-2.332698	-1.303188	0.1789	1.241393	0.541203		-9.30420695	-8.27469695
19.922175	-2.30787	-1.292364	0.176962	1.241618	0.541329		-9.28063125	-8.26512525
19.925714	-2.283038	-1.281538	0.175024	1.24184	0.541454		-9.2570379	-8.2555379
19.929215	-2.258201	-1.270709	0.173085	1.242059	0.541577		-9.23342625	-8.24593425
19.932676	-2.23336	-1.259877	0.171146	1.242277	0.5417		-9.2097966	-8.2363136
19.936099	-2.208514	-1.249043	0.169207	1.242491	0.541821		-9.18614865	-8.22667765
19.939483	-2.183664	-1.238207	0.167267	1.242704	0.541942		-9.16248305	-8.21702605
19.942829	-2.15881	-1.227368	0.165327	1.242914	0.542061		-9.13880015	-8.20735815
19.946135	-2.133952	-1.216526	0.163387	1.243121	0.54218		-9.11509925	-8.19767325
19.949403	-2.10909	-1.205683	0.161446	1.243327	0.542297		-9.09138105	-8.18797405
19.952632	-2.084223	-1.194837	0.159505	1.243529	0.542413		-9.0676442	-8.1782582
19.955822	-2.059353	-1.183989	0.157564	1.24373	0.542528		-9.0438907	-8.1685267
19.958973	-2.034478	-1.173138	0.155623	1.243928	0.542642		-9.02011855	-8.15877855
19.962086	-2.009599	-1.162285	0.153681	1.244123	0.542756		-8.9963291	-8.1490151
19.965159	-1.984717	-1.15143	0.151739	1.244316	0.542868		-8.97252265	-8.13923565
19.968194	-1.959831	-1.140573	0.149796	1.244507	0.542979		-8.9486989	-8.1294409
19.97119	-1.934941	-1.129713	0.147853	1.244695	0.543088		-8.9248575	-8.1196295
19.974147	-1.910047	-1.118851	0.14591	1.244881	0.543197		-8.90099845	-8.10980245
19.977065	-1.885149	-1.107988	0.143967	1.245064	0.543305		-8.87712175	-8.09996075
19.979945	-1.860248	-1.097121	0.142023	1.245245	0.543412		-8.85322875	-8.09010175
19.982785	-1.835343	-1.086253	0.140079	1.245424	0.543517		-8.82931775	-8.08022775
19.985587	-1.810434	-1.075383	0.138135	1.2456	0.543622		-8.80538945	-8.07033845
19.988349	-1.785522	-1.06451	0.13619	1.245774	0.543726		-8.78144415	-8.06043215
19.991073	-1.760607	-1.053636	0.134245	1.245945	0.543828		-8.75748255	-8.05051155
19.993758	-1.735688	-1.042759	0.1323	1.246114	0.54393		-8.7335033	-8.0405743
19.996404	-1.710766	-1.031881	0.130355	1.24628	0.54403		-8.7095074	-8.0306224
