x	y	z	Velocidad				x'	y'
41.31295	24.373583	-4.849494	-0.297163	0.674565	0.300167		9.9140505	-19.3090265
41.07522	24.913235	-4.60936	-0.30874	0.667543	0.301466		10.536908	-18.985687
40.828228	25.447269	-4.368187	-0.320212	0.660393	0.302694		11.1573892	-18.6580668
40.572059	25.975584	-4.126032	-0.331578	0.653116	0.30385		11.77536335	-18.32625265
40.306796	26.498076	-3.882952	-0.34284	0.645712	0.304935		12.3906974	-17.9903306
40.032524	27.014646	-3.639004	-0.353997	0.638184	0.305949		13.0032626	-17.6503874
39.749326	27.525193	-3.394245	-0.365047	0.630531	0.306892		13.6129289	-17.3065091
39.457289	28.029618	-3.148731	-0.375992	0.622756	0.307766		14.21956685	-16.95878215
39.156495	28.527823	-2.902519	-0.386831	0.61486	0.308569		14.82304975	-16.60729225
38.847031	29.019711	-2.655663	-0.397563	0.606843	0.309303		15.42325015	-16.25212385
38.528981	29.505185	-2.408221	-0.408188	0.598706	0.309967		16.02004165	-15.89336435
38.20243	29.984149	-2.160247	-0.418706	0.59045	0.310562		16.6132985	-15.5310975
37.867465	30.45651	-1.911798	-0.429117	0.582077	0.311087		17.20289725	-15.16541075
37.524172	30.922172	-1.662928	-0.43942	0.573587	0.311544		17.7887118	-14.7963882
37.172636	31.381041	-1.413693	-0.449614	0.564981	0.311932		18.3706184	-14.4241156
36.812944	31.833026	-1.164147	-0.4597	0.556259	0.312251		18.9484956	-14.0486774
36.445184	32.278033	-0.914347	-0.469677	0.547423	0.312501		19.5222186	-13.6701614
36.069442	32.715971	-0.664346	-0.479545	0.538473	0.312683		20.0916663	-13.2886507
35.685806	33.146749	-0.4142	-0.489302	0.52941	0.312796		20.6567169	-12.9042321
35.294365	33.570277	-0.163963	-0.498949	0.520234	0.312841		21.21724925	-12.51699075
34.895205	33.986464	0.086309	-0.508485	0.510947	0.312817		21.77314225	-12.12701275
34.488417	34.395222	0.336563	-0.517909	0.501548	0.312725		22.32427605	-11.73438295
34.07409	34.79646	0.586743	-0.527221	0.492039	0.312565		22.8705285	-11.3391885
33.652314	35.190091	0.836795	-0.53642	0.482419	0.312336		23.4117811	-10.9415149
33.223178	35.576026	1.086664	-0.545505	0.47269	0.312039		23.9479137	-10.5414483
32.786773	35.954178	1.336295	-0.554477	0.462852	0.311673		24.47880745	-10.13907555
32.343192	36.32446	1.585634	-0.563333	0.452906	0.311239		25.0043428	-9.7344832
31.892525	36.686785	1.834625	-0.572074	0.442851	0.310736		25.52440125	-9.32775875
31.434866	37.041065	2.083214	-0.580698	0.432689	0.310165		26.0388619	-8.9189891
30.970307	37.387216	2.331346	-0.589205	0.422419	0.309524		26.54760855	-8.50826145
30.498943	37.725151	2.578965	-0.597594	0.412042	0.308815		27.05052095	-8.09566505
30.020868	38.054785	2.826017	-0.605864	0.401559	0.308037		27.5474812	-7.6812868
29.536177	38.376033	3.072447	-0.614014	0.39097	0.307189		28.03837105	-7.26521495
29.044965	38.688809	3.318198	-0.622043	0.380276	0.306271		28.52307125	-6.84753975
28.547331	38.99303	3.563215	-0.62995	0.369475	0.305285		29.00146415	-6.42835085
28.043371	39.28861	3.807442	-0.637734	0.35857	0.304228		29.47343015	-6.00773785
27.533184	39.575466	4.050825	-0.645394	0.34756	0.303101		29.9388516	-5.5857894
27.016869	39.853513	4.293305	-0.652929	0.336445	0.301903		30.39760885	-5.16259915
26.494526	40.122669	4.534828	-0.660337	0.325226	0.300635		30.8495849	-4.7382561
25.966257	40.38285	4.775336	-0.667617	0.313903	0.299296		31.29466005	-4.31285395
25.432163	40.633973	5.014773	-0.674769	0.302477	0.297886		31.73271595	-3.88648405
24.892347	40.875954	5.253082	-0.681791	0.290947	0.296405		32.16363255	-3.45923945
24.346915	41.108712	5.490206	-0.68868	0.279314	0.294851		32.58729175	-3.03121425
23.795971	41.332163	5.726087	-0.695437	0.267578	0.293225		33.00357315	-2.60250285
23.239621	41.546225	5.960667	-0.702059	0.255739	0.291527		33.41235765	-2.17320035
22.677974	41.750816	6.193888	-0.708545	0.243798	0.289755		33.8135251	-1.7434029
22.111138	41.945855	6.425692	-0.714894	0.231755	0.28791		34.2069567	-1.3132063
21.539223	42.131259	6.65602	-0.721103	0.21961	0.285991		34.59253095	-0.88270805
20.96234	42.306947	6.884813	-0.727171	0.207363	0.283998		34.970128	-0.452006
20.380604	42.472837	7.112012	-0.733096	0.195015	0.281931		35.3396256	-0.0211994
19.794127	42.628849	7.337557	-0.738877	0.182566	0.279788		35.70090455	0.40961255
19.203026	42.774901	7.561387	-0.744511	0.170015	0.277569		36.0538419	0.8403279
18.607417	42.910914	7.783442	-0.749997	0.157365	0.275275		36.39831805	1.27084605
18.00742	43.036805	8.003662	-0.755332	0.144613	0.272903		36.734208	1.701065
17.403154	43.152496	8.221985	-0.760515	0.131762	0.270455		37.0613921	2.1308811
16.794742	43.257906	8.438349	-0.765543	0.118812	0.267928		37.3797463	2.5601893
16.182308	43.352955	8.652691	-0.770414	0.105761	0.265324		37.6891472	2.9888832
15.565977	43.437564	8.86495	-0.775126	0.092612	0.26264		37.98947205	3.41685805
14.945876	43.511654	9.075063	-0.779677	0.079365	0.259877		38.2805974	3.8440064
14.322135	43.575146	9.282964	-0.784063	0.066019	0.257034		38.56239875	4.27021675
